:		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	Viktor	-1,124282146	-0,901883053	-1,120085343	0,003883582	-1,12394471	-0,347396527	-0,05958734	-0,721965017	0,78703311	-1,823426263	-1,950934842	-0,945604705	-1,570284129	-0,858602915	-0,858554512	-1,020595161	-1,020816112	
Black	Dot	Nami	-0,722099915	-0,605742349	-0,680051815	-0,041844225	-0,72166515	-0,483873734	-0,246861838	-0,721965017	0,563349627	-0,767758427	-0,937063192	-0,285182371	-0,597652252	-0,807412497	-0,807192549	-0,838049685	-0,838125563	
Black	Dot	Leona	1,087720125	0,726890819	1,300099059	-0,142926746	1,087954331	1,426807165	0,689510652	2,195363011	-0,52578559	0,076775843	0,414765675	-0,285182371	0,484864753	0,984252122	0,984624784	1,096932361	1,096817741	
Black	Dot	Kai'Sa	1,590447914	1,023031523	1,96014935	-0,282516893	1,59112305	1,426807165	0,87678515	1,871215452	-0,22482963	1,132443679	0,752722892	1,035662296	-0,155884339	0,728300034	0,728465122	1,096932361	1,096817741	
Black	Dot	Gnar	-0,822645473	-0,753812701	-0,680051815	-0,282516893	-0,822554309	-1,029782563	-0,808685333	-1,046112576	0,076939724	-0,134357725	-0,261148758	0,045028795	-0,226418711	0,011634186	0,011348098	-0,290413257	-0,290517597	
Black	Dot	Kalista	-1,224827704	-1,049953405	-1,120085343	-0,282516893	-1,224833869	-1,16625977	-1,370508827	-0,397817458	-2,408793825	-0,767758427	0,076808458	-1,275815872	1,258515452	-0,244317903	-0,244161413	-0,618995114	-0,618804167	
Black	Dot	Miss Fortune	1,690993472	1,023031523	2,180166114	-0,405259954	1,690735131	0,880898337	0,502236154	1,222920335	-0,198801007	2,188111516	1,428637325	2,026295796	-0,265027	1,444965881	1,444931995	1,644568789	1,644425707	
Black	Dot	Renata Glasc	0,082264547	-0,161531293	0,420032004	-0,465428121	0,081616892	-0,347396527	-0,434136337	-0,0736699	-0,37530761	0,710176545	0,414765675	0,705451129	-0,174446016	1,086632957	1,086698558	0,804859599	0,804698335	
Black	Dot	Fiora	-0,722099915	-1,049953405	-0,020001524	-1,485880235	-0,72166515	-1,029782563	-0,808685333	-1,046112576	0,076939724	0,076775843	-0,937063192	1,035662296	-1,371302952	0,728300034	0,728465122	0,257223171	0,257090369	
Black	Dot	Varus	-0,722099915	-1,049953405	-0,020001524	-1,485880235	-0,72166515	-1,029782563	-0,808685333	-1,046112576	0,076939724	0,076775843	-0,937063192	1,035662296	-1,371302952	-0,96098375	-0,961278437	-0,947576971	-0,94755442	
Black	Dot	Lee Sin	-0,319917684	-0,901883053	0,640048767	-1,734976446	-0,320662668	-0,347396527	-0,246861838	-0,397817458	0,205456053	-0,134357725	-1,612977625	1,365873463	-2,206578419	-0,449079573	-0,448959113	-0,436449638	-0,4365773	
Black	Dot	Ornn	-0,521008799	-1,049953405	0,420032004	-1,842075783	-0,521163909	-0,21091932	-0,995959831	1,222920335	-2,272956946	-0,767758427	-0,599105975	-0,615393538	0,020822827	-1,063364586	-1,063352212	-0,947576971	-0,94755442	
